Date,Open,High,Low,Close,Volume,Adj Close
2016-04-04,546.6204119880415,570.334948374855,541.7131760546141,568.7372436523438,2898226,568.7372436523438
2016-04-05,568.7371739752798,569.5816637947291,554.266502398682,554.9512329101562,981922,554.9512329101562
2016-04-06,556.9141542648288,564.6287959071342,554.449113256987,557.0739135742188,1253168,557.0739135742188
2016-04-07,559.1509872441287,563.3050081693943,551.8928321529966,553.5590209960938,824062,553.5590209960938
2016-04-08,554.5861254175734,565.4048461590887,551.7558722876105,562.5061645507812,971094,562.5061645507812
2016-04-11,565.5419024019818,565.7701459612914,552.3722601745242,564.2180786132812,998468,564.2180786132812
2016-04-12,564.6743818218155,570.0609503565678,561.0681236145494,566.02099609375,2127960,566.02099609375
2016-04-13,572.4347101305216,616.1433413067556,571.1108866577662,608.24609375,5955162,608.24609375
2016-04-18,607.1277210643559,618.4029278804321,600.7825405040186,611.9893188476562,3446600,611.9893188476562
2016-04-20,613.9522062497219,613.9522062497219,595.3960531333657,605.3246459960938,3542876,605.3246459960938
2016-04-21,609.3872883355775,610.9393552547467,594.4145484160002,597.3817138671875,1693322,597.3817138671875
2016-04-22,597.9979055643441,609.4557168850363,594.6427376205734,605.3016967773438,1421344,605.3016967773438
2016-04-25,604.9822671647527,608.9308352911198,601.3075243809337,605.530029296875,1211802,605.530029296875
2016-04-26,608.9536972243238,623.5612821652371,606.283259247016,618.0149536132812,2435670,618.0149536132812
2016-04-27,618.0834460226632,634.2202515817277,615.8922859630144,632.1204223632812,1671196,632.1204223632812
2016-04-28,634.2201957297495,637.7123323882455,612.1490606532836,613.7467651367188,3997186,613.7467651367188
2016-04-29,613.5185795067147,614.2717942646514,601.7868849112082,607.5614013671875,1806098,607.5614013671875
2016-05-02,602.1063674842803,613.9750297697931,599.4587205311842,610.1177368164062,1204758,610.1177368164062
2016-05-03,610.3231790982402,617.3074531753828,600.7369511542888,605.2333374023438,1916636,605.2333374023438
2016-05-04,605.2560844061097,607.0820322853206,596.1719825623344,603.019287109375,1044784,603.019287109375
2016-05-05,604.8453601959187,607.5842825817116,596.2862277403161,602.950927734375,1343540,602.950927734375
2016-05-06,598.7740338304638,608.9537172096569,596.400323489068,607.4929809570312,1092306,607.4929809570312
2016-05-09,607.584242446334,619.2246618170188,607.5386048876226,616.0748901367188,1891170,616.0748901367188
2016-05-10,615.1162120838485,618.517017831569,608.040663818691,616.2117919921875,1346258,616.2117919921875
2016-05-11,610.7796456031235,616.7139769879072,598.9794670326988,615.435791015625,2414330,615.435791015625
2016-05-12,620.0690712285158,622.2830219121429,607.6982853530722,609.13623046875,1287602,609.13623046875
2016-05-13,607.5842453464965,607.8581264235876,594.3461212931168,599.2533569335938,1207170,599.2533569335938
2016-05-16,602.5628198862482,602.5628198862482,595.9437586071947,600.8738403320312,1124564,600.8738403320312
2016-05-17,603.9323565160962,616.896599652528,601.8781648272659,612.582763671875,1869828,612.582763671875
2016-05-18,609.3644417842758,609.3644417842758,599.1391229413753,605.3016967773438,1679064,605.3016967773438
2016-05-19,605.3018149142067,606.8082444352999,595.9438305961515,598.4773559570312,1311608,598.4773559570312
2016-05-20,599.2762764082553,603.498782007432,588.0923426590842,590.283447265625,1558094,590.283447265625
2016-05-23,593.8895656217611,593.912412260343,584.3718231590733,586.5629272460938,732148,586.5629272460938
2016-05-24,580.5373396153785,594.7569207455488,574.8312521412741,591.0593872070312,1391044,591.0593872070312
2016-05-25,594.3005493754417,601.6499803273001,593.4332127659258,598.7969360351562,1755228,598.7969360351562
2016-05-26,601.6269668933683,616.234549619457,596.1719700084968,611.2816772460938,2812820,611.2816772460938
2016-05-27,611.2361149018778,621.7353162780863,606.0093608539966,608.8167114257812,1473552,608.8167114257812
2016-05-30,608.9537535257394,617.0335524038021,599.276249897047,607.5158081054688,4824894,607.5158081054688
2016-05-31,609.2731872891495,614.1119941527664,599.9380502649395,603.61279296875,2957786,603.61279296875
2016-06-01,606.6712861337278,615.8010270838215,605.4159467530899,608.839599609375,1890434,608.839599609375
2016-06-02,612.605589607163,614.3630535146118,607.401626359985,608.611328125,1523970,608.611328125
2016-06-03,613.9749638215022,620.1831753593084,612.9478681571168,618.1746215820312,3376508,618.1746215820312
2016-06-06,621.9635599115982,632.9648858633136,621.3016760271524,625.250244140625,2434724,625.250244140625
2016-06-07,627.66968190404,633.1246797591815,626.7567078212705,629.0162963867188,3529094,629.0162963867188
2016-06-08,629.9292656602124,638.1688789837073,629.9292656602124,632.8280029296875,2266562,632.8280029296875
2016-06-09,631.3215341662213,635.977679373921,623.1960431073597,626.9392700195312,1386668,626.9392700195312
2016-06-10,624.8166921273719,641.3187112504537,622.4429815955474,628.0577392578125,2835080,628.0577392578125
2016-06-13,620.023642529267,628.3545326276725,609.5244385696328,619.61279296875,2380866,619.61279296875
2016-06-14,621.2788227454564,623.9492606184328,615.8466161630826,618.8137817382812,1174906,618.8137817382812
2016-06-15,619.9093865587673,624.8394687707317,616.3487654364025,618.791015625,1365592,618.791015625
2016-06-16,619.4529056268698,622.7395899848577,611.3274141258512,613.4957275390625,1998934,613.4957275390625
2016-06-17,616.3945065232637,620.7311336433271,611.3274555199536,613.5186157226562,1931630,613.5186157226562
2016-06-20,611.7154812068287,618.0834531354725,607.1506107996244,616.6455078125,2144048,616.6455078125
2016-06-21,618.4486445608859,626.1175931567162,618.4486445608859,623.9492797851562,1986504,623.9492797851562
2016-06-22,623.470006784366,630.2944655816491,615.846639962451,620.5941162109375,1218652,620.5941162109375
2016-06-23,622.1233352121277,629.9749455309538,620.137627784242,627.5555419921875,1998834,627.5555419921875
2016-06-24,610.7795135451112,638.0774543023728,600.2803141343956,634.0147094726562,2768948,634.0147094726562
2016-06-27,636.8678433381102,639.6752495069957,629.0390802154009,635.338623046875,1746496,635.338623046875
2016-06-28,634.5626192071283,645.4726705398817,633.1018829776323,643.0076293945312,2010980,643.0076293945312
2016-06-29,645.7009263782774,650.8820432041598,642.7337605801446,647.1845092773438,2111922,647.1845092773438
2016-06-30,653.232995821293,655.9719182356381,646.1574462509017,652.753662109375,4694178,652.753662109375
2016-07-01,654.1459208315899,673.2727387333366,653.9176773142027,667.8861694335938,2329862,667.8861694335938
2016-07-04,672.2684180328822,674.4367313971321,663.0245557958167,668.9360961914062,1728496,668.9360961914062
2016-07-05,672.2683147762039,677.4266396451138,664.3254863564736,666.333984375,970110,666.333984375
