Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-04,971.412196114694,984.0690325461558,967.8524608683454,977.4439697265625,1752352,977.4439697265625
2016-04-05,977.2661585570737,982.8430200631141,965.8947802572224,974.0821533203125,1491794,974.0821533203125
2016-04-06,976.9494062579248,984.4644016906781,972.7370921804222,981.6561279296875,1763150,981.6561279296875
2016-04-07,980.9049348558164,982.7638886050396,971.8078326373956,977.26611328125,2390942,977.26611328125
2016-04-08,975.3674236777603,978.4129555256743,959.9419048118102,961.9393310546875,1399500,961.9393310546875
2016-04-11,962.3150951599642,995.5392908005055,954.4045723884068,991.445556640625,2400648,991.445556640625
2016-04-12,988.0244483845892,998.7036557930695,984.1087776270851,995.9942626953125,1303628,995.9942626953125
2016-04-13,1000.6809969542824,1006.6138882405726,993.7592904536104,999.177978515625,1601468,999.177978515625
2016-04-18,970.2255248720653,1009.9758979864732,965.083685563734,996.6268920898438,7121504,996.6268920898438
2016-04-20,1002.6191472389054,1002.6191472389054,965.0837561676555,969.177490234375,6405024,969.177490234375
2016-04-21,969.4346703013855,975.9212610486675,954.0882351551712,958.9136352539062,2525724,958.9136352539062
2016-04-22,956.7778485504942,963.2644394065883,950.9240416566473,956.006591796875,1964126,956.006591796875
2016-04-25,950.1725817261515,971.827640541508,950.1725817261515,969.5335693359375,2267654,969.5335693359375
2016-04-26,968.6435199825538,986.2444332692927,965.8748369936285,984.781005859375,2554368,984.781005859375
2016-04-27,980.9052696299807,994.5905188722096,979.283573098927,993.2061767578125,1848670,993.2061767578125
2016-04-28,989.3299744330437,1004.6368232540674,988.064309559075,999.7916259765625,4992744,999.7916259765625
2016-04-29,995.539454684881,1005.4276097771027,992.770771259059,1002.856689453125,2372178,1002.856689453125
2016-05-02,1000.2857060864519,1000.6812322652129,988.8154469023842,999.3759765625,1116692,999.3759765625
2016-05-03,998.7037055463791,1000.681336646471,977.7408158854056,980.153564453125,2153118,980.153564453125
2016-05-04,978.4920737405666,986.4619833561468,971.8077206369175,980.11376953125,1364892,980.11376953125
2016-05-05,980.1139529284867,984.8404718471181,974.3986184802664,977.0684204101562,1246566,977.0684204101562
2016-05-06,974.971930588411,982.6056043678868,961.5240418906399,978.2943115234375,885598,978.2943115234375
2016-05-09,978.2942692264398,995.9347728517146,971.5703251682671,993.7791748046875,1821276,993.7791748046875
2016-05-10,994.7481850332279,1002.2433856434429,987.2331888043486,997.872802734375,1158534,997.872802734375
2016-05-11,988.8152587548353,998.9407656300808,984.859997719816,996.0534057617188,1598716,996.0534057617188
2016-05-12,996.9433561713548,1016.4625117672954,996.9433561713548,1014.9990844726562,1513082,1014.9990844726562
2016-05-13,1014.5247918022385,1014.9203180368593,992.8301392076812,998.0708618164062,1621730,998.0708618164062
2016-05-16,1003.8455606530832,1014.445682812815,997.714904155793,1009.0466918945312,1111526,1009.0466918945312
2016-05-17,1014.2083854815158,1024.9073897992685,1009.382984570278,1016.58154296875,1756698,1016.58154296875
2016-05-18,1014.8609278906433,1014.8609278906433,999.1189659885436,1009.0269165039062,1500740,1009.0269165039062
2016-05-19,1010.5688925671427,1012.5465224938886,999.138230216136,1011.3401489257812,1038792,1011.3401489257812
2016-05-20,1005.545768661756,1014.8406296575869,997.8330116652156,1000.4039306640625,1230918,1000.4039306640625
2016-05-23,1006.2187612536978,1006.9702224890874,980.9841676610243,985.433837890625,1533016,985.433837890625
2016-05-24,982.4869514812422,984.1679376099843,972.8361520971234,976.0398559570312,1339158,976.0398559570312
2016-05-25,981.300633826356,1001.8482033596931,981.300633826356,999.2772827148438,1548678,999.2772827148438
2016-05-26,1000.6814370454453,1014.4852648834253,990.8328718044828,1008.0777587890625,1943248,1008.0777587890625
2016-05-27,1009.8380783344594,1020.3987093028089,1008.8295633767636,1017.5508422851562,1104676,1017.5508422851562
2016-05-30,1021.6437194627424,1044.9599592526695,1021.2481934389473,1042.7647705078125,1349464,1042.7647705078125
2016-05-31,1044.189078531112,1046.957761693884,1013.3380375745111,1016.264892578125,3722608,1016.264892578125
2016-06-01,1016.9768447166658,1046.1666946787254,1016.8977587973548,1041.637939453125,1911942,1041.637939453125
2016-06-02,1028.3682545227487,1049.84534930501,1028.3682545227487,1048.203857421875,1408756,1048.203857421875
2016-06-03,1048.6979743981424,1051.3084855612533,1036.4762552344862,1040.0557861328125,1554922,1040.0557861328125
2016-06-06,1047.2295079339863,1054.6226565303527,1040.315895409082,1044.032470703125,1322026,1044.032470703125
2016-06-07,1044.6316218791726,1054.6223604204806,1044.2319923375203,1051.4852294921875,1202194,1051.4852294921875
2016-06-08,1045.930151665035,1050.4459838494358,1041.2345057458206,1044.271728515625,938266,1044.271728515625
2016-06-09,1047.9881759890877,1047.9881759890877,1021.1330978630447,1029.9449462890625,1562138,1029.9449462890625
2016-06-10,1025.4491068890309,1040.335303004236,1020.3338307242075,1021.3529052734375,1396832,1021.3529052734375
2016-06-13,1015.0594037179158,1020.3944990590688,1006.2675506148471,1017.8568115234375,1029978,1017.8568115234375
2016-06-14,1022.6318050723135,1022.6318050723135,1006.3669052784784,1013.0007934570312,977570,1013.0007934570312
